Parameter;Design 1;Design 2;Design 3;Design 4;Design 5;Design 6;Design 7;Design 8;Design 9;Design 10;Design 11;Design 12;Design 13;Design 14;Design 15;Design 16;Design 17;Design 18;Design 19;Design 20;Design 21;Design 22;Design 23;Design 24;Design 25;Design 26;Design 27;Design 28;Design 29;Design 30;Design 31;Design 32;Design 33;Design 34;Design 35;Design 36;Design 37;Design 38;Design 39;Design 40;Design 41;Design 42;Design 43;Design 44;Design 45;Design 46;Design 47;Design 48;Design 49;Design 50;Design 51;Design 52;Design 53;Design 54;Design 55;Design 56;Design 57;Design 58;Design 59;Design 60;Design 61;Design 62;Design 63;Design 64;Design 65;Design 66;Design 67;Design 68;Design 69;Design 70;Design 71;Design 72;Design 73;Design 74;Design 75;Design 76;Design 77;Design 78;Design 79;Design 80;Design 81;Design 82;Design 83;Design 84;Design 85;Design 86;Design 87;Design 88;Design 89;Design 90;Design 91;Design 92;Design 93;Design 94;Design 95;Design 96;Design 97;Design 98;Design 99;Design 100;Design 101;Design 102;Design 103;Design 104;Design 105;Design 106;Design 107;Design 108;Design 109;Design 110;Design 111;Design 112;Design 113;Design 114;Design 115;Design 116;Design 117;Design 118;Design 119;Design 120;Design 121;Design 122;Design 123;Design 124;Design 125;Design 126;Design 127;Design 128;Design 129;Design 130;Design 131;Design 132;Design 133;Design 134;Design 135;Design 136;Design 137;Design 138;Design 139;Design 140;Design 141;Design 142;Design 143;Design 144;Design 145;Design 146;Design 147;Design 148;Design 149;Design 150;Design 151;Design 152;Design 153;Design 154;Design 155;Design 156;Design 157;Design 158;Design 159;Design 160;Design 161;Design 162;Design 163;Design 164;Design 165;Design 166;Design 167;Design 168;Design 169;Design 170;Design 171;Design 172;Design 173;Design 174;Design 175;Design 176;Design 177;Design 178;Design 179;Design 180;Design 181;Design 182;Design 183;Design 184;Design 185;Design 186;Design 187;Design 188;Design 189;Design 190;Design 191;Design 192;Design 193;Design 194;Design 195;Design 196;Design 197;Design 198;Design 199;Design 200;Design 201;Design 202;Design 203;Design 204;Design 205;Design 206;Design 207
CL cruise;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
CD cruise;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Ct0;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443
e;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85
Thrust take off;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
S;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000
A;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
wing;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
tail;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
V ref;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333
