;Design 1
Take off weight [N];1521753.586
Payload weight [N];472485.2453
Fuel weight [N];199151.8874
Empty weight [N];850116.4533
Wing weight [N];200737.5604
Empennage weight [N];42797.15856
Fuselage weight [N];203205.4178
Nacelle weight [N];24898.44315
Propulsion system weight [N];64022.29253
Fixed equipment weight [N];277024.6389
CL cruise [-];0.598357931
CD cruise [-];0.03118
L/D-ratio;19.19044039
C_t [kg/Ns];1.13E-05
Oswald factor [-];0.85
CD_0 [-];0.017905187
Aspect ratio [-];15
Surface area [m^2];235.7249055
Span [m];59.46321201
Root chord [m];6.039632601
Tip chord [m];1.888795668
Quarter chord sweep [deg];0.436332313
Taper ratio [-];0.312733537
Mean aerodynamic chord [m];4.326401247
Dihedral [deg];-1.5
Thickness over chord [-];0.13
Leading edge root location [m];18.38183194
Fuselage length [m];48.61947454
Fuselage outer diameter [m];6.287718634
Nosecone length [m];7.754852982
Tailcone length [m];13.832981
Cabin length [m];35.12095797
Forward cg [%MAC];0.053020591
Aft cg [%MAC];0.806155183
Horizontal tail surface area [m^2];52.8076596
Horizontal tail leading edge root position [m];43.42884033
Horizontal tail leading edge sweep [deg];36.80058153
Horizontal tail mean aerodynamic chord [m];3.855899697
Horizontal tail arm [m];30.44415422
Horizontal tail root chord [m];5.190634207
Horizontal tail tip chord [m];2.076253683
Horizontal tail span [m];14.53377578
Vertical tail surface area [m^2];56.41807909
Vertical tail leading edge root position [m];41.18569684
Vertical tail leading edge sweep [deg];44.52928643
Vertical tail mean aerodynamic chord [m];6.224850212
Vertical tail root chord [m];7.433777696
Vertical tail tip chord [m];4.831955503
Vertical tail span [m];9.199299899
Take off thrust [N];383052.9715
Cruise Mach number [-];0.775
Cruise velocity [m/s];235.4181235
Cruise altitude [m];9000
Cruise fuel consumption [kg/km/pas];0.008046925
Mission fuel consumption [kg/km/pas];0.023075838
Fuel consumption reduction [%];21.10857537
Total fuel consumption reduction [%];34.99763823
RF reduction [%];35.91445934
DOC reduction [%];17.2443468
