;Design 1;Design 2;Design 3;Design 4;Design 5;Design 6;Design 7;Design 8;Design 9;Design 10;Design 11;Design 12;Design 13;Design 14;Design 15;Design 16;Design 17;Design 18;Design 19;Design 20;Design 21;Design 22;Design 23;Design 24;Design 25;Design 26;Design 27;Design 28;Design 29
Take off weight [N];1549319.4072959998;1549159.9950673874;1548802.8818591472;1533941.5024522066;1534153.347297232;1533891.5206072982;1533935.5392270242;1533845.1914596558;1534218.0418374175;1518190.082633359;1518039.0555517746;1517982.1590085237;1517982.994767736;1517982.992156674;1517982.9921648314;1517227.7066543875;1517709.3069986498;1517290.2272286708;1530268.8201074803;1530984.972148304;1530902.7137794034;1530991.0989977203;1531014.0373223338;1526007.4976334893;1525942.8931737645;1525041.1965147192;1525663.1074210866;1525422.9327351898;1525699.1080477417
Payload weight [N];472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004
Fuel weight [N];203101.6854229526;202974.4107404119;203151.2721194683;200827.0019393357;200766.1151416193;200765.08946575507;200645.4317069278;200736.9516797308;200847.7035406875;198424.62314274954;198485.7627918294;198469.2892923357;198469.39908521096;198469.39874219833;198469.39874326994;198306.5536640464;198459.70675420554;198322.2358990689;200040.382121628;200465.9868069633;200395.65238873195;200464.53904132658;200439.46104070338;200023.53324634273;200117.96371865078;199852.7403993569;200043.91283519423;199969.50356566213;200069.78263287785
Empty weight [N];873732.4766230474;873700.3390769754;873166.3644896788;860629.2552628708;860901.9869056125;860641.185891543;860804.8622700965;860622.9945299249;860885.0930467299;847280.2142406093;847068.047509945;847027.624466188;847028.3504325249;847028.3481644758;847028.3481715614;846435.907740341;846764.3549944444;846482.746079602;857743.1927358522;858033.7400913406;858021.8161406713;858041.3147063935;858089.3310316303;853498.7191371465;853339.6842051134;852703.2108653621;853133.9493358925;852968.1839195276;853144.0801648637
Wing weight [N];208652.04008664086;208553.31830985332;208505.25541426518;205835.07434983223;205844.24118446733;205819.5668920612;205796.71546483188;205810.33643833984;205861.33011358068;202928.79226684023;202891.20574399288;202848.77841840245;202848.92752829997;202848.92706245388;202848.9270639092;202654.9803017147;202767.33143088635;202675.82929147698;204961.8735681964;205109.35397799854;205077.9218532327;205135.4566906363;205133.7336854272;204656.8322248093;204626.74463364747;204398.78758641443;204518.08863004748;204433.38924195155;204495.99231354473
Empennage weight [N];40547.6974140142;40650.25027343325;40284.039966922064;39550.70569627595;39774.940288625745;39590.958932349124;39764.79641747816;39588.96417173536;39734.3226791015;38473.17194070048;38144.33716581402;38137.57559783155;38137.63083695426;38137.63066437873;38137.63066491787;37929.00477641673;38037.238268457455;37932.87556566116;38268.80513735603;38299.22411627955;38337.42041011982;38258.54274184174;38302.56142035588;41129.6411758143;41070.68678338837;40564.59283292169;40812.4867232997;40752.27435089396;40808.65163031365
Fuselage weight [N];216002.40680664504;216052.26452466988;215928.1688625063;209469.9457172654;209527.68388798102;209476.80992944876;209522.6977525092;209476.47222317723;209517.82973054922;202958.0260277007;203068.98307521912;203114.29736653055;203114.7066422168;203114.70536356475;203114.70536755933;203048.79965054526;203086.08569139638;203055.20704328755;209243.56564327955;209254.26744903636;209262.92874834038;209252.1631369634;209263.2721883889;202565.71612050643;202510.70335930734;202690.63178961605;202692.37941844563;202726.11993664486;202745.57430598076
Nacelle weight [N];25354.19410746336;25343.122841658682;25345.831545862955;25100.423250700147;25097.633532517524;25097.50527968645;25092.400615741586;25096.441120478932;25100.39381739063;24836.866670314972;24839.65695138875;24835.411324558263;24835.425063465816;24835.425020543003;24835.425020677096;24819.780401238237;24829.391304465906;24821.705355669044;25033.956143188694;25050.244651512927;25046.385250101644;25052.92460228552;25052.033542422694;24967.491168873767;24966.886661861317;24951.286249556;24960.37521705915;24953.445902381198;24958.77389618001
Propulsion system weight [N];63595.13394146404;63605.720913828;63603.56399583733;63833.58520938467;63836.16542392148;63836.28748060128;63840.98009939859;63837.2555633055;63833.68245730754;64081.255513667194;64078.8833661051;64083.04022318885;64083.02694684788;64083.02698832555;64083.02698819597;64098.02733425947;64088.97711714723;64096.16814957974;63897.13337058725;63882.30129713091;63885.909861490654;63879.64048085005;63880.4463811053;63948.97138281089;63949.865013691924;63964.756490016305;63956.33847143731;63962.97660950678;63958.00545524771
Fixed equipment weight [N];281575.3725055279;281503.9713224054;281504.40293937485;279153.68167891685;279139.0015904718;279137.8981323779;279111.55079020764;279132.7078917156;279151.7320089549;276648.93460969604;276688.28903760866;276657.192885361;276657.2874077644;276657.2871124594;276657.287113382;276553.734506245;276611.60790177266;276566.94783725805;278735.8641520589;278815.8035199951;278793.5739493834;278836.6610256964;278832.48191485583;278711.94991569035;278697.44364509487;278635.49449168186;278685.1460427236;278639.59016666614;278669.96910073113
