Parameter;Design 1;Design 2;Design 3;Design 4;Design 5;Design 6;Design 7;Design 8;Design 9;Design 10;Design 11;Design 12;Design 13;Design 14;Design 15;Design 16;Design 17;Design 18;Design 19;Design 20;Design 21;Design 22;Design 23;Design 24;Design 25;Design 26;Design 27;Design 28;Design 29;Design 30;Design 31;Design 32;Design 33;Design 34;Design 35;Design 36;Design 37;Design 38;Design 39;Design 40;Design 41;Design 42;Design 43;Design 44;Design 45;Design 46;Design 47;Design 48;Design 49;Design 50;Design 51;Design 52;Design 53;Design 54
CL cruise;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
CD cruise;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Ct0;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443;0.00001443
e;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85
Thrust take off;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
S;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000
A;11;12;13;11;12;13;11;12;13;11;12;13;11;12;13;11;12;13;11;12;13;11;12;13;11;12;13;11;12;13;11;12;13;11;12;13;11;12;13;11;12;13;11;12;13;11;12;13;11;12;13;11;12;13
wing;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
tail;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
V ref;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333;250.8333333
