,Design 1,Design 2,Design 3,Design 4,Design 5,Design 6,Design 7,Design 8,Design 9,Design 10,Design 11,Design 12,Design 13,Design 14,Design 15,Design 16,Design 17,Design 18,Design 19,Design 20,Design 21,Design 22,Design 23,Design 24,Design 25,Design 26,Design 27
Take off weight [N],1780309.458,1836070.898,1891434.425,1870598.049,1937283.826,2005397.773,2006123.281,2117906.273,2219884.525,1765559.51,1812393.071,1864197.662,1853058.806,1917263.684,1982601.297,1986474.504,2071195.993,2191202.404,1755060.768,1800911.434,1846158.969,1844018.62,1907846.425,1972783.879,1964176.147,2047688.059,2164203.572
Payload weight [N],472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453,472485.2453
Fuel weight [N],159429.2936,164192.3923,168720.9869,167419.004,172880.8155,178356.9732,178858.6239,190288.2952,199026.2074,158200.4766,162169.7791,166428.3569,165892.0298,171165.467,176434.9063,177173.425,183920.0469,196514.1493,157271.347,161156.3281,164882.6414,165072.2068,170309.702,175549.4773,175267.0884,181942.8415,194140.29
Empty weight [N],1148394.92,1199393.26,1250228.193,1230693.799,1291917.765,1354555.555,1354779.412,1455132.732,1548373.073,1134873.788,1177738.046,1225284.059,1214681.53,1273612.972,1333681.146,1336815.834,1414790.701,1522203.01,1125304.176,1167269.86,1208791.082,1206461.168,1265051.478,1324749.157,1316423.813,1393259.972,1497578.037
Wing weight [N],190407.5349,232661.7357,274899.4259,220811.4141,271894.2652,323994.4281,287086.8665,366393.8444,442731.3629,185352.2956,220947.2185,260416.2339,214468.2026,263630.6799,313588.0083,279831.0235,345216.0928,428976.1338,183902.4213,218762.1727,253212.8815,214812.444,263723.127,313404.2795,270816.106,335228.3994,416727.4324
Empennage weight [N],23520.47335,24123.53169,25108.14196,30292.43875,31214.98929,32726.83661,40639.98063,44319.72414,47579.55893,22541.02469,22920.84709,23800.41914,28954.93249,29792.71957,31186.10072,38820.80231,40265.81878,45158.63257,21639.46879,21988.94474,22704.93701,27847.71756,28650.57388,29989.38388,36931.10249,38307.37961,42837.99369
Fuselage weight [N],409474.4886,409783.246,409995.1414,441491.6337,441827.3178,442008.2969,470440.7388,469565.0483,469400.4495,404115.754,404459.0493,404677.5003,435765.571,436104.0862,436293.402,464393.0035,464708.0044,463499.0974,398521.553,398863.0825,399097.5857,429750.6812,430086.2288,430276.8474,458089.2749,458399.7796,457308.4799
Nacelle weight [N],28979.06322,29844.83972,30667.99102,30431.33285,31424.11263,32419.5001,32510.68389,34588.22661,36176.49502,28755.70422,29477.19439,30251.26541,30153.77858,31112.31805,32070.13082,32204.36951,33430.68608,35719.8845,28586.81866,29292.98194,29970.30458,30004.7614,30956.76778,31909.18861,31857.85949,33071.29439,35288.39405
Propulsion system weight [N],126385.1221,126448.6043,126507.1286,126421.9621,126488.8317,126551.832,126472.7955,126565.6908,126642.7549,126379.3518,126439.0449,126496.2533,126415.0099,126480.994,126543.0408,126465.4408,126538.1171,126632.0375,126374.9696,126434.2264,126488.8668,126411.2604,126477.065,126538.9704,126457.0666,126529.4319,126621.8288
Fixed equipment weight [N],327107.8745,332946.3793,338457.8671,336941.7528,343554.0336,350132.4466,350795.7706,364366.2487,374612.4504,325484.758,330361.2143,335559.433,334960.4429,341357.6046,347701.5568,348639.5526,356688.6555,371530.9282,324242.555,329021.5138,333577.7246,333853.2847,340212.7734,346526.8319,346231.0536,354213.6777,368622.4288
