;Design 1;Design 2;Design 3;Design 4;Design 5;Design 6;Design 7;Design 8;Design 9;Design 10;Design 11;Design 12;Design 13;Design 14;Design 15;Design 16;Design 17;Design 18;Design 19;Design 20;Design 21;Design 22;Design 23;Design 24;Design 25;Design 26;Design 27;Design 28;Design 29;Design 30
Take off weight [N];1482821.4131707365;1483332.7834200328;1484572.9523060604;1485310.8899228629;1485740.4317146558;1487169.5591028314;1487764.9679329928;1488991.32023185;1489751.6903396267;1490808.4875481084;1491682.014440586;1492570.3994297993;1493324.6608526027;1494664.0681143103;1495471.0727044349;1496250.3174505553;1497424.2045897716;1498243.3853823964;1499020.3761898312;1499997.6829231405;1501046.061434584;1501861.3734405506;1502836.1309613734;1503379.0508161504;1504573.0028489206;1505230.8731316298;1506602.0237774262;1507281.9903895415;1508207.9957906087;1509076.7409200503
Payload weight [N];472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004
Fuel weight [N];168061.5154046171;167981.08647120735;168204.5288625757;168231.6797899231;168025.633876962;168449.59337585457;168374.89530061584;168640.94934250577;168610.41933544778;168806.89452037346;168848.15830176062;168939.59205812984;168968.89740209197;169278.53251221846;169319.31432504958;169324.0698420645;169608.5022029746;169576.19051321145;169657.63985581894;169800.80837060043;169901.10702700098;170006.49852075425;170103.31436595423;169970.37381046312;170185.92490791928;170189.38303542347;170523.51200944095;170488.8307274284;170540.76957236885;170613.40312284124
Empty weight [N];842274.6525161194;842866.4516988255;843883.1781934844;844593.9648829396;845229.5525876936;846234.7204769768;846904.8273823771;847865.1256393443;848656.0257541789;849516.3477777349;850348.6108888255;851145.5621216694;851870.5182005109;852900.2903520919;853666.5131293854;854441.0023584907;855330.457136797;856181.9496191847;856877.4910840122;857711.6293025401;858659.7091575828;859369.6296697964;860247.5713454192;860923.4317556871;861901.8326910014;862556.2448462062;863593.2665179854;864307.9144121129;865181.9809682397;865978.0925472091
Wing weight [N];196711.79673422972;196829.5153623713;197036.51998042237;197158.08135382956;197224.0798802693;197492.35958712327;197600.71797805716;197825.47737800755;197965.64915461457;198140.6508049616;198303.02999812982;198450.97800496468;198581.37082125852;198841.56504499915;198974.47383735157;199105.04682517026;199321.7500238327;199463.66284523314;199586.992922892;199773.3477783014;199945.68701881653;200099.52447735064;200280.10020052726;200366.34800955962;200578.87347636747;200678.6721691655;200944.74476496878;201048.5421132336;201231.21082401212;201375.44810376887
Empennage weight [N];41815.2588497877;41724.438060590466;41852.19628203092;41832.30752018247;41839.478479152756;41852.93170910643;41826.1088785836;41870.78344382972;41897.29423275907;41932.47104852157;41962.426089952736;41989.76540383002;41970.532523178525;42023.28993486749;42046.85864694573;42071.36486461295;42070.355738894825;42141.5971198295;42119.74790705204;42111.61958440374;42232.43019947789;42172.73938361151;42208.17789654907;42221.07001454909;42307.82013558624;42279.97308777325;42334.12245136798;42352.91700657084;42386.63376997768;42413.78944002621
Fuselage weight [N];202873.75033451954;202831.32635336404;202871.67349088253;202872.11533564507;202881.14572522376;202894.6653637731;202895.76610901888;202919.3633821965;202924.22409589906;202940.6815862785;202953.4945102318;202964.66071878438;202967.78007735815;202987.2826516789;202997.36335356676;203009.53589711306;203019.50283915235;203041.483036983;203039.81424731013;203048.50370205133;203082.87081997885;203071.74428057155;203090.01587123462;203095.7264443052;203117.45546795626;203121.085464426;203137.81562055377;203143.31242603663;203159.1949369691;203172.25158085715
Nacelle weight [N];24263.355092587055;24274.27342663013;24292.46086638878;24304.684540200247;24308.099412264797;24336.215745948084;24344.96800024195;24366.461659781664;24379.30958842359;24396.305272052636;24410.79568582959;24424.015459889713;24436.548025601136;24461.95767722409;24473.403446818607;24485.2554028894;24506.646383615796;24519.143198869144;24530.585415252765;24548.52357079779;24562.97392730526;24578.212945591767;24595.221027676977;24601.49708132628;24621.40244817077;24630.084493041755;24656.16666672578;24665.318164925804;24681.612583590122;24694.762482456583
Propulsion system weight [N];64549.660198634854;64538.56369665476;64521.321354419015;64509.311411061324;64505.22113884935;64478.83133262706;64469.90471593659;64449.53510112122;64436.699240151174;64420.54372752165;64406.33246516728;64393.55461201191;64381.24214406257;64357.13522271937;64345.93937319913;64334.217990679164;64314.00630988864;64301.513691243774;64290.46458117422;64273.18571358488;64259.21791832956;64244.48412516049;64227.967096444074;64221.29536404548;64202.316130313215;64193.732676038264;64169.03452577963;64159.85112383233;64143.88655569842;64131.111947789126
Fixed equipment weight [N];275433.5374755748;275527.1965725389;275644.808616934;275737.77059780114;275787.50485788094;275960.05478802504;276036.6071758384;276175.5118729571;276278.5766781718;276389.88898622687;276498.368280168;276591.6778150938;276686.260119616;276850.09417664364;276935.0145840572;277027.1140195989;277162.64521845884;277263.1785527039;277344.0305030329;277467.8882885138;277569.68005116406;277676.7904016964;277798.43388936145;277861.89862691535;277993.18545972754;278060.93427798763;278226.62862992776;278301.6453687017;278422.5074365945;278517.1657661955
